Codigo,Estacion,Municipio,Departamento,Latitud,Longitud,Elevacion,Entidad,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,Promedio_Anual,Anos_Info,Fecha_Inicio,Fecha_Final,Annual_Average
23195240,Aguachica,Aguachica,Cesar,8.12,-73.58,103,IDEAM (aut.),5.1021,5.7276,5.3558,4.722,4.951,5.0971,5.6241,5.449,5.0999,4.9544,4.4065,4.6215,"5,0926",4,Sep 05,Sep 17,5.0926
28025070,Motilonia Codazzi,Agustin Codazzi,Cesar,10.0,-73.25,180,IDEAM (conv.),4.3689,4.5972,4.7538,4.6074,4.598,4.4753,4.3925,4.4689,4.6345,4.6486,4.3553,4.4456,"4,5288",9,Jan 86,Dez 95,4.5288
28025130,La Loma-Carbones del Cesar,El Paso,Cesar,9.64,-73.52,138,IDEAM (aut.),5.0629,5.8045,5.8187,6.0368,5.3596,5.6935,6.0532,6.0029,5.2915,4.7748,4.602,4.7769,"5,4398",6,Mai 15,Okt 22,5.4398
28035060,Fedearroz,Valledupar,Cesar,10.46,-73.25,"183,7",IDEAM (aut.),5.5331,5.844,5.5317,5.6296,5.4024,5.6482,5.7166,5.4823,5.2027,4.982,4.973,5.2272,"5,4311",12,Sep 05,Feb 17,5.4311
11159010,Capurgana,Acandi,Chocó,8.62,-77.33,19,IDEAM (aut.),4.0544,4.0169,4.1928,4.205,3.9839,4.5556,4.5593,4.5232,4.4969,4.3659,3.9242,3.8972,"4,2313",7,Apr 07,Nov 15,4.2313
13035501,Aeropuerto Los Garzones,Monteria,Córdoba,8.83,-75.83,20,IDEAM (aut.),4.9473,5.0899,4.7903,4.7142,4.2138,4.4516,4.6795,4.7665,4.3543,4.1338,4.2161,4.5558,"4,5761",8,Jun 15,Okt 22,4.5761
21205791,Eldorado Catam - AUT,Bogotá,Cundinamarca,4.71,-74.15,2547,IDEAM (aut.),4.7322,4.5234,3.9558,3.5564,3.4928,3.7272,3.7613,3.9735,3.8393,3.8795,3.9701,4.2787,"3,9742",9,Sep 14,Okt 22,3.9742
21205520,Eldorado Didáctica,Bogotá,Cundinamarca,4.7,-74.15,2546,IDEAM (conv.),4.6885,4.3354,4.3224,3.7167,3.506,3.6589,3.9193,4.1685,3.9504,3.9648,4.0162,4.1991,"4,0372",22,Mrz 81,Dez 04,4.0372
21206960,IDEAM Bogotá Centro,Bogotá,Cundinamarca,4.6,-74.07,2646,IDEAM (aut.),3.9304,4.0093,3.5139,3.5595,3.5244,3.7575,4.1455,4.2051,4.1955,3.4943,3.176,3.4891,"3,75",9,Dez 13,Okt 22,3.75
21206600,Nueva Generación,Bogotá,Cundinamarca,4.78,-74.09,2590,IDEAM (aut.),4.0743,3.9837,3.6595,3.3837,3.3449,3.5137,3.6018,3.7303,3.6976,3.4744,3.404,3.7477,"3,6346",8,Feb 15,Okt 22,3.6346
21205012,Universidad Nacional,Bogotá,Cundinamarca,4.64,-74.09,2556,IDEAM (aut.),4.5516,4.4037,3.5758,3.6002,3.6209,3.8303,4.029,4.0885,3.9352,3.764,3.6728,4.1484,"3,935",10,Jun 12,Okt 22,3.935
